iotID,DateTime,Latitude,Longitude,StepDistance,AccelerometerMag,tripID
11051_SO74253_222,2008-07-23T19:44:42,-26.79699,153.12659,0.000,0.0,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:44:52,-26.79652,153.12673,0.054,0.5,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:45:02,-26.79612,153.12718,0.063,7.0,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:45:12,-26.79640,153.12653,0.071,0.7,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:45:22,-26.79609,153.12698,0.056,1.6,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:45:32,-26.79599,153.12654,0.045,0.1,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:45:42,-26.79587,153.12654,0.013,0.6,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:45:52,-26.79644,153.12692,0.074,9.4,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:46:02,-26.79686,153.12662,0.055,9.2,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:46:12,-26.79652,153.12649,0.039,8.6,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:46:22,-26.79678,153.12662,0.031,6.4,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:46:32,-26.79633,153.12673,0.052,1.4,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:46:42,-26.79700,153.12641,0.081,0.1,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:46:52,-26.79688,153.12704,0.063,6.2,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:47:02,-26.79692,153.12744,0.040,7.5,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:47:12,-26.79727,153.12801,0.068,6.5,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:47:22,-26.79725,153.12747,0.053,7.5,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:47:32,-26.79704,153.12794,0.052,6.1,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:47:42,-26.79662,153.12818,0.052,2.8,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:47:52,-26.79672,153.12777,0.042,0.5,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:48:02,-26.79666,153.12751,0.027,3.0,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:48:12,-26.79665,153.12690,0.061,3.9,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:48:22,-26.79692,153.12652,0.049,7.2,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:48:32,-26.79748,153.12635,0.064,1.0,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:48:42,-26.79789,153.12615,0.050,1.4,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:48:52,-26.79837,153.12549,0.084,4.8,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:49:02,-26.79890,153.12519,0.066,9.1,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:49:12,-26.79874,153.12490,0.034,0.8,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:49:22,-26.79899,153.12500,0.029,4.1,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:49:32,-26.79911,153.12494,0.015,8.1,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:49:42,-26.79871,153.12511,0.047,6.9,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:49:52,-26.79907,153.12459,0.065,5.0,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:50:02,-26.79959,153.12401,0.082,6.1,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:50:12,-26.79955,153.12350,0.051,7.2,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:50:22,-26.79973,153.12351,0.020,4.3,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:50:32,-26.80013,153.12337,0.046,6.6,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:50:42,-26.79985,153.12361,0.039,4.5,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:50:52,-26.80005,153.12294,0.070,2.8,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:51:02,-26.80043,153.12341,0.063,3.0,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:51:12,-26.80023,153.12335,0.023,3.3,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:51:22,-26.79972,153.12368,0.065,6.9,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:51:32,-26.79954,153.12339,0.035,8.1,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:51:42,-26.79931,153.12391,0.059,3.9,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:51:52,-26.79974,153.12402,0.049,2.5,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:52:02,-26.79959,153.12367,0.039,3.9,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:52:12,-26.80019,153.12403,0.075,4.0,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:52:22,-26.80000,153.12462,0.062,3.5,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:52:32,-26.79968,153.12391,0.080,4.8,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:52:42,-26.79999,153.12337,0.064,5.4,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:52:52,-26.79958,153.12297,0.060,1.2,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:53:02,-26.79908,153.12290,0.056,6.8,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:53:12,-26.79847,153.12326,0.076,6.3,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:53:22,-26.79820,153.12364,0.049,4.7,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:53:32,-26.79785,153.12337,0.047,8.3,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:53:42,-26.79802,153.12279,0.061,6.3,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:53:52,-26.79745,153.12260,0.066,6.4,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:54:02,-26.79800,153.12257,0.061,7.3,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:54:12,-26.79779,153.12226,0.039,1.3,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:54:22,-26.79767,153.12261,0.038,5.8,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:54:32,-26.79765,153.12216,0.045,6.3,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:54:42,-26.79735,153.12236,0.039,3.6,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:54:52,-26.79729,153.12265,0.030,1.4,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:55:02,-26.79719,153.12284,0.022,1.9,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:55:12,-26.79687,153.12241,0.055,6.2,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:55:22,-26.79687,153.12156,0.085,4.1,863087ad-46d2-44da-ae3b-1ffbb5c04f86
11051_SO74253_222,2008-07-23T19:55:32,-26.79718,153.12149,0.035,3.3,863087ad-46d2-44da-ae3b-1ffbb5c04f86
